GenBank Accession	TAIR7 Locus	Tested in AD	Tested in DB	Vector type 1	Vector type 2
AY059149	AT1G52380	AD	DB	pENTR Sfi (SpecR)	
AY059152	AT5G13120	AD	DB	pENTR Sfi (SpecR)	
AY059153	AT1G54310	AD	DB	pENTR Sfi (SpecR)	
AY059155	AT3G15355	AD	DB	pENTR Sfi (SpecR)	
AY059156	AT1G62710	AD	DB	pENTR Sfi (SpecR)	
AY059157	AT2G45850		DB	pENTR Sfi (SpecR)	
AY059158	AT3G26020	AD	DB	pENTR Sfi (SpecR)	
AY059159	AT3G06960	AD	DB	pENTR Sfi (SpecR)	
AY059162	AT4G30210	AD	DB	pENTR Sfi (SpecR)	
AY059164	AT1G33040	AD	DB	pENTR Sfi (SpecR)	
AY059166	AT2G01080	AD		pENTR Sfi (SpecR)	
AY059167	AT4G38510	AD	DB	pENTR Sfi (SpecR)	
AY059650	AT3G23280		DB	pENTR Sfi (SpecR)	
AY059654	AT3G16060	AD	DB	pENTR Sfi (SpecR)	
AY059655	AT5G39790	AD	DB	pENTR Sfi (SpecR)	
AY059656	AT5G61010	AD	DB	pENTR Sfi (SpecR)	
AY059657	AT1G65890	AD	DB	pENTR Sfi (SpecR)	
AY059658	AT4G27600	AD	DB	pENTR Sfi (SpecR)	
AY059659	AT2G17980	AD	DB	pENTR Sfi (SpecR)	
AY059664	AT5G25190	AD	DB	pENTR Sfi (SpecR)	
AY059666	AT1G19700	AD	DB	pENTR Sfi (SpecR)	
AY060490	AT3G50685	AD		pENTR Sfi (SpecR)	
AY060491	AT2G38140		DB	pENTR Sfi (SpecR)	
AY060492	AT1G67865		DB	pENTR Sfi (SpecR)	
AY060493	AT2G35120	AD	DB	pENTR Sfi (SpecR)	
AY060497	AT2G41700	AD	DB	pENTR Sfi (SpecR)	
AY060498	AT5G48220	AD	DB	pENTR Sfi (SpecR)	
AY060499	AT1G66510	AD	DB	pENTR Sfi (SpecR)	
AY060502	AT3G01730	AD		pENTR Sfi (SpecR)	
AY060503	AT4G10280	AD	DB	pENTR Sfi (SpecR)	
AY060505	AT5G19940	AD	DB	pENTR Sfi (SpecR)	
AY060510	AT5G05440	AD	DB	pENTR Sfi (SpecR)	
AY060511	AT5G25410	AD	DB	pENTR Sfi (SpecR)	
AY060513	AT1G29195	AD	DB	pENTR Sfi (SpecR)	
AY060516	AT2G28420	AD		pENTR Sfi (SpecR)	
AY060518	AT4G13170	AD	DB	pENTR Sfi (SpecR)	
AY060519	AT3G62870	AD		pENTR Sfi (SpecR)	
AY060520	AT5G43970	AD	DB	pENTR Sfi (SpecR)	
