GenBank Accession	TAIR7 Locus	Tested in AD	Tested in DB	Vector type 1	Vector type 2
BT005453	AT1G22050	AD	DB	pENTR Sfi (SpecR)	
BT005454	AT4G12300	AD	DB	pENTR Sfi (SpecR)	
BT005455	AT5G60460	AD	DB	pENTR Sfi (SpecR)	
BT005457	AT1G78895		DB	pENTR Sfi (SpecR)	
BT005458	AT4G16840	AD	DB	pENTR Sfi (SpecR)	
BT005460	AT5G15160	AD	DB	pENTR Sfi (SpecR)	
BT005461	AT5G25390	AD	DB	pENTR Sfi (SpecR)	
BT005463	AT1G68500	AD	DB	pENTR Sfi (SpecR)	
BT005464	AT3G51810	AD		pENTR Sfi (SpecR)	
BT005465	AT1G52140	AD	DB	pENTR Sfi (SpecR)	
BT005466	AT5G07560	AD	DB	pENTR Sfi (SpecR)	
BT005467	AT3G27620		DB	pENTR Sfi (SpecR)	
BT005468	AT1G04830	AD	DB	pENTR Sfi (SpecR)	
BT005469	AT4G17480	AD	DB	pENTR Sfi (SpecR)	
BT005470	AT3G47290	AD	DB	pENTR Sfi (SpecR)	
BT005471	AT1G07020	AD	DB	pENTR Sfi (SpecR)	
BT005472	AT1G44835	AD	DB	pENTR Sfi (SpecR)	
BT005473	AT5G58900	AD	DB	pENTR Sfi (SpecR)	
BT005474	AT3G05280	AD	DB	pENTR Sfi (SpecR)	
BT005475	AT4G20130		DB	pENTR Sfi (SpecR)	
BT005476	AT1G21460	AD	DB	pENTR Sfi (SpecR)	
BT005477	AT5G40260	AD	DB	pENTR Sfi (SpecR)	
BT005478	AT5G63550	AD	DB	pENTR Sfi (SpecR)	
BT005480	AT2G17972	AD	DB	pENTR Sfi (SpecR)	
BT005482	AT3G45730		DB	pENTR Sfi (SpecR)	
BT005483	AT1G79070	AD	DB	pENTR Sfi (SpecR)	
BT005484	AT5G56910	AD	DB	pENTR Sfi (SpecR)	
BT005485	AT3G61620	AD	DB	pENTR Sfi (SpecR)	
BT005486	AT5G53930	AD	DB	pENTR Sfi (SpecR)	
BT005487	AT2G30270	AD	DB	pENTR Sfi (SpecR)	
BT005488	AT4G17510	AD	DB	pENTR Sfi (SpecR)	
BT005489	AT2G29740		DB	pENTR Sfi (SpecR)	
BT005490	AT5G43750	AD	DB	pENTR Sfi (SpecR)	
BT005491	AT3G24860		DB	pENTR Sfi (SpecR)	
BT005492	AT1G74520	AD	DB	pENTR Sfi (SpecR)	
BT005493	AT3G46630	AD	DB	pENTR Sfi (SpecR)	
BT005494	AT5G59590	AD	DB	pENTR Sfi (SpecR)	
BT005495	AT1G30840	AD	DB	pENTR Sfi (SpecR)	
BT005496	AT5G12390	AD	DB	pENTR Sfi (SpecR)	
BT005497	AT2G41550	AD	DB	pENTR Sfi (SpecR)	
BT005498	AT5G08710	AD	DB	pENTR Sfi (SpecR)	
BT005499	AT5G48590	AD	DB	pENTR Sfi (SpecR)	
BT005500	AT5G27690	AD	DB	pENTR Sfi (SpecR)	
BT005501	AT4G29720	AD	DB	pENTR Sfi (SpecR)	
BT005502	AT1G59980	AD	DB	pENTR Sfi (SpecR)	
BT005503	AT1G59650	AD	DB	pENTR Sfi (SpecR)	
BT005504	AT1G28230	AD	DB	pENTR Sfi (SpecR)	
BT005505	AT5G56220	AD	DB	pENTR Sfi (SpecR)	
BT005507	AT5G53360	AD	DB	pENTR Sfi (SpecR)	
BT005508	AT5G48330	AD	DB	pENTR Sfi (SpecR)	
BT005510	AT4G01450		DB	pENTR Sfi (SpecR)	
BT005511	AT2G04080		DB	pENTR Sfi (SpecR)	
BT005512	AT2G44290	AD	DB	pENTR Sfi (SpecR)	
BT005513	AT1G68380	AD	DB	pENTR Sfi (SpecR)	
BT005514	AT3G12030	AD	DB	pENTR Sfi (SpecR)	
BT005515	AT5G63000		DB	pENTR Sfi (SpecR)	
BT005516	AT5G50830	AD	DB	pENTR Sfi (SpecR)	
BT005517	AT2G39810	AD	DB	pENTR Sfi (SpecR)	
BT005518	AT4G30780	AD	DB	pENTR Sfi (SpecR)	
BT005519	AT4G25550	AD	DB	pENTR Sfi (SpecR)	
BT005520	AT3G58630	AD	DB	pENTR Sfi (SpecR)	
BT005521	AT2G38330	AD	DB	pENTR Sfi (SpecR)	
BT005522	AT1G17560	AD	DB	pENTR Sfi (SpecR)	
BT005523	AT2G38630	AD	DB	pENTR Sfi (SpecR)	
BT005524	AT3G48160		DB	pENTR Sfi (SpecR)	
BT005525	AT1G03680	AD	DB	pENTR Sfi (SpecR)	
BT005526	AT2G38900		DB	pENTR Sfi (SpecR)	
BT005527	AT5G44980	AD	DB	pENTR Sfi (SpecR)	
BT005529	AT1G06450	AD	DB	pENTR Sfi (SpecR)	
BT005530	AT5G25340	AD	DB	pENTR Sfi (SpecR)	
BT005531	AT1G71865	AD	DB	pENTR Sfi (SpecR)	
BT005533	AT4G00231	AD	DB	pENTR Sfi (SpecR)	
BT005534	AT3G19570	AD	DB	pENTR Sfi (SpecR)	
BT005535	AT2G14247	AD	DB	pENTR Sfi (SpecR)	
BT005536	AT2G38880	AD	DB	pENTR Sfi (SpecR)	
BT005537	AT3G28630	AD	DB	pENTR Sfi (SpecR)	
BT005538	AT4G37240	AD	DB	pENTR Sfi (SpecR)	
BT005539	AT4G23895	AD	DB	pENTR Sfi (SpecR)	
BT005540	AT2G34700	AD	DB	pENTR Sfi (SpecR)	
BT005541	AT1G26940	AD	DB	pENTR Sfi (SpecR)	
BT005542	AT2G44630	AD	DB	pENTR Sfi (SpecR)	
BT005543	AT5G44060	AD	DB	pENTR Sfi (SpecR)	
BT005544	AT2G21220	AD	DB	pENTR Sfi (SpecR)	
BT005545	AT1G63470	AD	DB	pENTR Sfi (SpecR)	
BT005546	AT1G21110	AD	DB	pENTR Sfi (SpecR)	
BT005547	AT1G28100	AD	DB	pENTR Sfi (SpecR)	
BT005548	AT5G25840	AD	DB	pENTR Sfi (SpecR)	
BT005549	AT4G30370	AD	DB	pENTR Sfi (SpecR)	
BT005550	AT3G01430	AD	DB	pENTR Sfi (SpecR)	
BT005551	AT1G52070	AD	DB	pENTR Sfi (SpecR)	
BT005552	AT5G02750	AD	DB	pENTR Sfi (SpecR)	
BT005553	AT5G18090	AD	DB	pENTR Sfi (SpecR)	
BT005554	AT5G02150	AD	DB	pENTR Sfi (SpecR)	
BT005556	AT3G01990	AD	DB	pENTR Sfi (SpecR)	
BT005557	AT1G23900	AD	DB	pENTR Sfi (SpecR)	
BT005558	AT1G73820	AD	DB	pENTR Sfi (SpecR)	
BT005559	AT1G76410	AD	DB	pENTR Sfi (SpecR)	
BT005560	AT5G39400	AD	DB	pENTR Sfi (SpecR)	
BT005561	AT1G30500	AD		pENTR Sfi (SpecR)	
BT005562	AT5G25490	AD	DB	pENTR Sfi (SpecR)	
BT005563	AT1G08125	AD	DB	pENTR Sfi (SpecR)	
BT005564	AT1G07180	AD	DB	pENTR Sfi (SpecR)	
BT005565	AT3G15060	AD	DB	pENTR Sfi (SpecR)	
BT005566	AT5G16450	AD	DB	pENTR Sfi (SpecR)	
BT005567	AT4G17615	AD	DB	pENTR Sfi (SpecR)	
BT005568	AT1G09932	AD	DB	pENTR Sfi (SpecR)	
BT005569	AT1G48990	AD	DB	pENTR Sfi (SpecR)	
BT005571	AT3G04500	AD	DB	pENTR Sfi (SpecR)	
BT005572	AT2G17695	AD	DB	pENTR Sfi (SpecR)	
BT005573	AT1G72030	AD	DB	pENTR Sfi (SpecR)	
BT005574	AT3G01530	AD		pENTR Sfi (SpecR)	
BT005576	AT3G11730	AD	DB	pENTR Sfi (SpecR)	
BT005577	AT5G65540	AD	DB	pENTR Sfi (SpecR)	
BT005582	AT5G01390	AD	DB	pENTR Sfi (SpecR)	
BT005583	AT4G02630	AD	DB	pENTR Sfi (SpecR)	
BT005584	AT4G37220	AD	DB	pENTR Sfi (SpecR)	
BT005585	AT3G08840	AD	DB	pENTR Sfi (SpecR)	
BT005586	AT2G45800	AD	DB	pENTR Sfi (SpecR)	
BT005587	AT1G04970	AD	DB	pENTR Sfi (SpecR)	
BT005588	AT5G05030	AD	DB	pENTR Sfi (SpecR)	
BT005589	AT3G09350	AD	DB	pENTR Sfi (SpecR)	
BT005590	AT5G51170	AD	DB	pENTR Sfi (SpecR)	
BT005591	AT3G14870	AD	DB	pENTR Sfi (SpecR)	
BT005592	AT1G29030	AD	DB	pENTR Sfi (SpecR)	
BT005593	AT3G12110	AD	DB	pENTR Sfi (SpecR)	
BT005595	AT5G60840	AD	DB	pENTR Sfi (SpecR)	
BT005596	AT3G45620	AD		pENTR Sfi (SpecR)	
BT005597	AT2G25100	AD	DB	pENTR Sfi (SpecR)	
BT005599	AT5G42900	AD	DB	pENTR Sfi (SpecR)	
BT005600	AT1G14130	AD	DB	pENTR Sfi (SpecR)	
BT005602	AT4G22250	AD	DB	pENTR Sfi (SpecR)	
BT005603	AT3G44280	AD	DB	pENTR Sfi (SpecR)	
BT005604	AT1G62070	AD	DB	pENTR Sfi (SpecR)	
BT005606	AT5G32450	AD	DB	pENTR Sfi (SpecR)	
BT005607	AT1G13770	AD	DB	pENTR Sfi (SpecR)	
BT005608	AT2G40330	AD	DB	pENTR Sfi (SpecR)	
BT005609	AT2G04550	AD	DB	pENTR Sfi (SpecR)	
BT005610	AT3G62400	AD	DB	pENTR Sfi (SpecR)	
BT005611	AT4G01060	AD	DB	pENTR Sfi (SpecR)	
BT005613	AT2G23050	AD	DB	pENTR Sfi (SpecR)	
BT005614	AT4G23770	AD	DB	pENTR Sfi (SpecR)	
BT005615	AT5G07200	AD	DB	pENTR Sfi (SpecR)	
BT005616	AT5G09300	AD	DB	pENTR Sfi (SpecR)	
BT005618	AT4G22830	AD	DB	pENTR Sfi (SpecR)	
BT005619	AT1G14060	AD	DB	pENTR Sfi (SpecR)	
BT005620	AT2G26840	AD	DB	pENTR Sfi (SpecR)	
BT005621	AT1G13970	AD	DB	pENTR Sfi (SpecR)	
BT005622	AT4G17420	AD	DB	pENTR Sfi (SpecR)	
BT005623	AT1G01430	AD	DB	pENTR Sfi (SpecR)	
BT005624	AT5G03670	AD	DB	pENTR Sfi (SpecR)	
BT005625	AT3G14220	AD	DB	pENTR Sfi (SpecR)	
BT005626	AT1G48140	AD	DB	pENTR Sfi (SpecR)	
BT005629	AT1G24625	AD	DB	pENTR Sfi (SpecR)	
BT005630	AT4G00238	AD	DB	pENTR Sfi (SpecR)	
BT005631	AT2G40020	AD	DB	pENTR Sfi (SpecR)	
BT005632	AT5G65520	AD	DB	pENTR Sfi (SpecR)	
BT005633	AT3G21400	AD	DB	pENTR Sfi (SpecR)	
BT005636	AT3G28760	AD	DB	pENTR Sfi (SpecR)	
BT005637	AT5G48560	AD	DB	pENTR Sfi (SpecR)	
BT005638	AT1G48930	AD	DB	pENTR Sfi (SpecR)	
BT005639	AT3G52290	AD		pENTR Sfi (SpecR)	
BT005640	AT5G48650	AD	DB	pENTR Sfi (SpecR)	
BT005642	AT4G17785	AD	DB	pENTR Sfi (SpecR)	
BT005643	AT1G17180	AD	DB	pENTR Sfi (SpecR)	
BT005644	AT2G39530	AD	DB	pENTR Sfi (SpecR)	
BT005645	AT5G22570	AD	DB	pENTR Sfi (SpecR)	
BT005646	AT5G58920	AD	DB	pENTR Sfi (SpecR)	
BT005647	AT5G18150	AD	DB	pENTR Sfi (SpecR)	
BT005648	AT2G21640	AD	DB	pENTR Sfi (SpecR)	
BT005649	AT5G12320	AD	DB	pENTR Sfi (SpecR)	
BT005650	AT3G17890	AD	DB	pENTR Sfi (SpecR)	
BT005651	AT5G57887	AD	DB	pENTR Sfi (SpecR)	
BT005654	AT1G62520	AD	DB	pENTR Sfi (SpecR)	
BT005655	AT5G21060	AD	DB	pENTR Sfi (SpecR)	
BT005656	AT3G62450	AD	DB	pENTR Sfi (SpecR)	
BT005659	AT1G72170	AD	DB	pENTR Sfi (SpecR)	
BT005660	AT2G34450	AD	DB	pENTR Sfi (SpecR)	
BT005661	AT2G44360	AD	DB	pENTR Sfi (SpecR)	
BT005662	AT2G18740	AD	DB	pENTR Sfi (SpecR)	
BT005663	AT1G14880	AD	DB	pENTR Sfi (SpecR)	
BT005664	AT5G22545	AD	DB	pENTR Sfi (SpecR)	
BT005665	AT1G05785	AD	DB	pENTR Sfi (SpecR)	
BT005667	AT5G59180	AD	DB	pENTR Sfi (SpecR)	
BT005668	AT5G51510	AD	DB	pENTR Sfi (SpecR)	
BT005669	AT5G05530	AD	DB	pENTR Sfi (SpecR)	
BT005670	AT5G64680	AD	DB	pENTR Sfi (SpecR)	
BT005671	AT2G21185	AD	DB	pENTR Sfi (SpecR)	
BT005672	AT5G58310	AD	DB	pENTR Sfi (SpecR)	
BT005673	AT2G46140	AD	DB	pENTR Sfi (SpecR)	
BT005674	AT2G33470	AD	DB	pENTR Sfi (SpecR)	
BT005675	AT3G59530	AD	DB	pENTR Sfi (SpecR)	
BT005676	AT4G31020	AD	DB	pENTR Sfi (SpecR)	
BT005677	AT5G47070		DB	pENTR Sfi (SpecR)	
BT005678	AT3G07320	AD	DB	pENTR Sfi (SpecR)	
BT005679	AT5G45650	AD	DB	pENTR Sfi (SpecR)	
BT005680	AT4G37040	AD	DB	pENTR Sfi (SpecR)	
BT005681	AT5G62260	AD	DB	pENTR Sfi (SpecR)	
BT005682	AT1G62150	AD	DB	pENTR Sfi (SpecR)	
BT005683	AT5G66410	AD	DB	pENTR Sfi (SpecR)	
BT005684	AT2G32450	AD	DB	pENTR Sfi (SpecR)	
BT005686	AT1G67660	AD	DB	pENTR Sfi (SpecR)	
BT005687	AT3G61300		DB	pENTR Sfi (SpecR)	
BT005688	AT2G40240	AD	DB	pENTR Sfi (SpecR)	
BT005689	AT5G38120	AD	DB	pENTR Sfi (SpecR)	
BT005690	AT3G28970	AD	DB	pENTR Sfi (SpecR)	
BT005691	AT4G21850	AD	DB	pENTR Sfi (SpecR)	
BT005693	AT3G61100		DB	pENTR Sfi (SpecR)	
BT005694	AT3G62230	AD	DB	pENTR Sfi (SpecR)	
BT005695	AT3G05820	AD	DB	pENTR Sfi (SpecR)	
BT005696	AT5G43910	AD	DB	pENTR Sfi (SpecR)	
BT005698	AT1G54790	AD	DB	pENTR Sfi (SpecR)	
BT005699	AT5G43630	AD	DB	pENTR Sfi (SpecR)	
BT005700	AT5G44860	AD	DB	pENTR Sfi (SpecR)	
BT005701	AT3G60500	AD	DB	pENTR Sfi (SpecR)	
BT005702	AT1G61580	AD	DB	pENTR Sfi (SpecR)	
BT005703	AT2G17670	AD	DB	pENTR Sfi (SpecR)	
BT005707	AT4G16480	AD		pENTR Sfi (SpecR)	
BT005724	AT4G29780	AD	DB	pENTR Sfi (SpecR)	
BT005807	AT1G03530	AD	DB	pENTR Sfi (SpecR)	
BT005808	AT2G15690	AD	DB	pENTR Sfi (SpecR)	
BT005809	AT1G13110		DB	pENTR Sfi (SpecR)	
BT005811	AT4G33090	AD	DB	pENTR Sfi (SpecR)	
BT005815	AT5G49555	AD	DB	pENTR Sfi (SpecR)	
BT005816	AT5G61380	AD	DB	pENTR Sfi (SpecR)	
BT005817	AT3G43670	AD	DB	pENTR Sfi (SpecR)	
BT005821	AT1G15130		DB	pENTR Sfi (SpecR)	
BT005822	AT4G30020	AD	DB	pENTR Sfi (SpecR)	
BT005823	AT2G31970	AD	DB	pENTR Sfi (SpecR)	
BT005824	AT1G03610		DB	pENTR Sfi (SpecR)	
BT005825	AT5G26830		DB	pENTR Sfi (SpecR)	
BT005826	AT1G80820	AD	DB	pENTR Sfi (SpecR)	
BT005827	AT1G15550	AD	DB	pENTR Sfi (SpecR)	
BT005828	AT2G22930	AD	DB	pENTR Sfi (SpecR)	
BT005829	AT2G35930	AD	DB	pENTR Sfi (SpecR)	
BT005834	AT1G43620	AD	DB	pENTR Sfi (SpecR)	
BT005835	AT5G02580	AD	DB	pENTR Sfi (SpecR)	
BT005836	AT5G54760	AD	DB	pENTR Sfi (SpecR)	
BT005837	AT5G03370	AD	DB	pENTR Sfi (SpecR)	
BT005838	AT3G51910	AD	DB	pENTR Sfi (SpecR)	
BT005839	AT2G42395	AD	DB	pENTR Sfi (SpecR)	
BT005842	AT3G60210	AD	DB	pENTR Sfi (SpecR)	
BT005843	AT1G09740	AD	DB	pENTR Sfi (SpecR)	
BT005849	AT3G54826	AD	DB	pENTR Sfi (SpecR)	
BT005850	AT5G61640		DB	pENTR Sfi (SpecR)	
BT005851	AT2G25950	AD	DB	pENTR Sfi (SpecR)	
BT005852	AT4G28830	AD	DB	pENTR Sfi (SpecR)	
BT005853	AT5G43700	AD	DB	pENTR Sfi (SpecR)	
BT005854	AT1G26450	AD	DB	pENTR Sfi (SpecR)	
BT005856	AT1G68490	AD	DB	pENTR Sfi (SpecR)	
BT005862	AT2G37790	AD	DB	pENTR Sfi (SpecR)	
BT005863	AT3G54480		DB	pENTR Sfi (SpecR)	
BT005864	AT2G29330		DB	pENTR Sfi (SpecR)	
BT005865	AT1G23710	AD	DB	pENTR Sfi (SpecR)	
BT005866	AT5G60200	AD	DB	pENTR Sfi (SpecR)	
BT005867	AT4G17030	AD	DB	pENTR Sfi (SpecR)	
BT005868	AT1G66680	AD	DB	pENTR Sfi (SpecR)	
BT005869	AT4G29930	AD	DB	pENTR Sfi (SpecR)	
BT005870	AT4G30930		DB	pENTR Sfi (SpecR)	
BT005871	AT2G45330	AD	DB	pENTR Sfi (SpecR)	
BT005872	AT5G22340	AD	DB	pENTR Sfi (SpecR)	
BT005874	AT2G33310		DB	pENTR Sfi (SpecR)	
BT005877	AT2G03510	AD	DB	pENTR Sfi (SpecR)	
BT005878	AT4G33120	AD	DB	pENTR Sfi (SpecR)	
BT005879	AT5G06710	AD	DB	pENTR Sfi (SpecR)	
BT005880	AT5G51080	AD	DB	pENTR Sfi (SpecR)	
BT005881	AT5G42460	AD	DB	pENTR Sfi (SpecR)	
BT005882	AT3G04570	AD	DB	pENTR Sfi (SpecR)	
BT005883	AT1G67170	AD	DB	pENTR Sfi (SpecR)	
BT005884	AT3G52390	AD	DB	pENTR Sfi (SpecR)	
BT005885	AT3G49990	AD	DB	pENTR Sfi (SpecR)	
BT005886	AT4G00980	AD	DB	pENTR Sfi (SpecR)	
BT005887	AT1G77210	AD	DB	pENTR Sfi (SpecR)	
BT005888	AT4G34380		DB	pENTR Sfi (SpecR)	
BT005889	AT1G20410	AD	DB	pENTR Sfi (SpecR)	
BT005890	AT3G60680	AD	DB	pENTR Sfi (SpecR)	
BT005891	AT3G26170	AD	DB	pENTR Sfi (SpecR)	
BT005893	AT3G56480	AD	DB	pENTR Sfi (SpecR)	
BT005896	AT3G54800	AD	DB	pENTR Sfi (SpecR)	
BT005897	AT2G02080	AD	DB	pENTR Sfi (SpecR)	
BT005898	AT1G34580		DB	pENTR Sfi (SpecR)	
BT005900	AT5G18910	AD	DB	pENTR Sfi (SpecR)	
BT005901	AT4G17220	AD	DB	pENTR Sfi (SpecR)	
BT005902	AT3G59200	AD	DB	pENTR Sfi (SpecR)	
BT005903	AT4G16120	AD	DB	pENTR Sfi (SpecR)	
BT005904	AT3G53440	AD	DB	pENTR Sfi (SpecR)	
BT005907	AT4G31120	AD	DB	pENTR Sfi (SpecR)	
BT005908	AT1G56520	AD	DB	pENTR Sfi (SpecR)	
BT005909	AT3G53320	AD	DB	pENTR Sfi (SpecR)	
BT005910	AT1G55560	AD	DB	pENTR Sfi (SpecR)	
BT005912	AT4G19010	AD	DB	pENTR Sfi (SpecR)	
BT005913	AT3G63240	AD	DB	pENTR Sfi (SpecR)	
BT005914	AT1G31280	AD	DB	pENTR Sfi (SpecR)	
BT005915	AT3G03970	AD	DB	pENTR Sfi (SpecR)	
BT005917	AT1G35220	AD	DB	pENTR Sfi (SpecR)	
BT005918	AT1G53020	AD	DB	pENTR Sfi (SpecR)	
BT005920	AT5G08680	AD	DB	pENTR Sfi (SpecR)	
BT005921	AT2G27990	AD	DB	pENTR Sfi (SpecR)	
BT005923	AT4G26900	AD	DB	pENTR Sfi (SpecR)	
BT005925	AT3G47930	AD	DB	pENTR Sfi (SpecR)	
BT005926	AT2G17650		DB	pENTR Sfi (SpecR)	
BT005927	AT5G25630	AD	DB	pENTR Sfi (SpecR)	
BT005928	AT4G16990		DB	pENTR Sfi (SpecR)	
BT005929	AT1G23010	AD	DB	pENTR Sfi (SpecR)	
BT005930	AT1G75140	AD	DB	pENTR Sfi (SpecR)	
BT005931	AT4G29000	AD	DB	pENTR Sfi (SpecR)	
BT005933	AT5G50860		DB	pENTR Sfi (SpecR)	
BT005934	AT2G19260	AD	DB	pENTR Sfi (SpecR)	
BT005935	AT1G14380	AD	DB	pENTR Sfi (SpecR)	
BT005936	AT5G19920	AD	DB	pENTR Sfi (SpecR)	
BT005942	AT3G07420	AD	DB	pENTR Sfi (SpecR)	
BT005945	AT3G53930	AD	DB	pENTR Sfi (SpecR)	
BT005946	AT2G06510	AD	DB	pENTR Sfi (SpecR)	
BT005947	AT5G13560		DB	pENTR Sfi (SpecR)	
BT005948	AT3G05610	AD	DB	pENTR Sfi (SpecR)	
BT005950	AT5G22355	AD	DB	pENTR Sfi (SpecR)	
BT005951	AT4G13370		DB	pENTR Sfi (SpecR)	
BT005953	AT1G50610	AD	DB	pENTR Sfi (SpecR)	
BT005954	AT4G23180	AD	DB	pENTR Sfi (SpecR)	
BT005957	AT3G20200	AD		pENTR Sfi (SpecR)	
BT005958	AT1G54570	AD	DB	pENTR Sfi (SpecR)	
BT005960	AT5G65683	AD	DB	pENTR Sfi (SpecR)	
BT005961	AT4G34280	AD	DB	pENTR Sfi (SpecR)	
BT005963	AT4G37890	AD	DB	pENTR Sfi (SpecR)	
BT005965	AT3G19510	AD	DB	pENTR Sfi (SpecR)	
BT005966	AT4G37460	AD	DB	pENTR Sfi (SpecR)	
BT005967	AT4G17770	AD	DB	pENTR Sfi (SpecR)	
BT005968	AT5G48620	AD	DB	pENTR Sfi (SpecR)	
BT005971	AT1G58220	AD	DB	pENTR Sfi (SpecR)	
BT005972	AT4G26090	AD	DB	pENTR Sfi (SpecR)	
BT005975	AT2G47820	AD	DB	pENTR Sfi (SpecR)	
BT005976	AT1G58190	AD	DB	pENTR Sfi (SpecR)	
BT005977	AT3G63380		DB	pENTR Sfi (SpecR)	
BT005978	AT1G76850	AD	DB	pENTR Sfi (SpecR)	
BT005980	AT4G30160	AD	DB	pENTR Sfi (SpecR)	
BT005983	AT5G20240		DB	pENTR Sfi (SpecR)	
BT005985	AT3G04070		DB	pENTR Sfi (SpecR)	
BT005986	AT5G64690	AD	DB	pENTR Sfi (SpecR)	
BT005988	AT3G21420	AD	DB	pENTR Sfi (SpecR)	
BT005990	AT1G17980	AD	DB	pENTR Sfi (SpecR)	
BT005991	AT5G27400	AD	DB	pENTR Sfi (SpecR)	
BT005992	AT3G16440	AD	DB	pENTR Sfi (SpecR)	
BT005994	AT5G65790	AD	DB	pENTR Sfi (SpecR)	
BT005995	AT1G58070	AD	DB	pENTR Sfi (SpecR)	
BT005996	AT5G47310	AD	DB	pENTR Sfi (SpecR)	
BT005997	AT2G17540	AD	DB	pENTR Sfi (SpecR)	
BT005998	AT3G20240	AD	DB	pENTR Sfi (SpecR)	
BT005999	AT1G18630		DB	pENTR Sfi (SpecR)	
BT006000	AT1G14240	AD	DB	pENTR Sfi (SpecR)	
BT006001	AT4G32840		DB	pENTR Sfi (SpecR)	
BT006134	AT5G06950	AD	DB	pENTR Sfi (SpecR)	
BT006194	AT3G12180	AD		pENTR Sfi (SpecR)	
BT006196	AT2G44300	AD	DB	pENTR Sfi (SpecR)	
BT006198	AT1G61170	AD	DB	pENTR Sfi (SpecR)	
BT006199	AT1G14510	AD	DB	pENTR Sfi (SpecR)	
BT006200	AT3G57490	AD	DB	pENTR Sfi (SpecR)	
BT006201	AT5G44110	AD	DB	pENTR Sfi (SpecR)	
BT006202	AT5G06910	AD	DB	pENTR Sfi (SpecR)	
BT006203	AT5G51570	AD	DB	pENTR Sfi (SpecR)	
BT006205	AT2G39510	AD	DB	pENTR Sfi (SpecR)	
BT006206	AT3G27610	AD	DB	pENTR Sfi (SpecR)	
BT006207	AT3G02340	AD	DB	pENTR Sfi (SpecR)	
BT006208	AT1G69250	AD	DB	pENTR Sfi (SpecR)	
BT006209	AT1G03840	AD	DB	pENTR Sfi (SpecR)	
BT006210	AT3G16330	AD	DB	pENTR Sfi (SpecR)	
BT006213	AT1G02380	AD	DB	pENTR Sfi (SpecR)	
BT006214	AT4G19050	AD	DB	pENTR Sfi (SpecR)	
BT006215	AT5G62210	AD	DB	pENTR Sfi (SpecR)	
BT006216	AT4G01410	AD	DB	pENTR Sfi (SpecR)	
BT006218	AT3G52820	AD	DB	pENTR Sfi (SpecR)	
BT006219	AT1G08060	AD	DB	pENTR Sfi (SpecR)	
BT006220	AT1G69930	AD	DB	pENTR Sfi (SpecR)	
BT006221	AT4G35840	AD	DB	pENTR Sfi (SpecR)	
BT006222	AT2G28790	AD	DB	pENTR Sfi (SpecR)	
BT006223	AT3G57480	AD	DB	pENTR Sfi (SpecR)	
BT006224	AT5G15800	AD	DB	pENTR Sfi (SpecR)	
BT006225	AT3G02700	AD	DB	pENTR Sfi (SpecR)	
BT006226	AT3G21080	AD	DB	pENTR Sfi (SpecR)	
BT006227	AT4G37150	AD	DB	pENTR Sfi (SpecR)	
BT006228	AT4G38890	AD	DB	pENTR Sfi (SpecR)	
BT006229	AT2G43580	AD	DB	pENTR Sfi (SpecR)	
BT006230	AT1G26480	AD		pENTR Sfi (SpecR)	
BT006231	AT1G02980	AD	DB	pENTR Sfi (SpecR)	
BT006232	AT5G17810	AD		pENTR Sfi (SpecR)	
BT006233	AT3G60420	AD	DB	pENTR Sfi (SpecR)	
BT006234	AT2G17280	AD	DB	pENTR Sfi (SpecR)	
BT006235	AT2G21140	AD	DB	pENTR Sfi (SpecR)	
BT006236	AT3G12920	AD	DB	pENTR Sfi (SpecR)	
BT006238	AT2G47260	AD	DB	pENTR Sfi (SpecR)	
BT006239	AT5G48970	AD	DB	pENTR Sfi (SpecR)	
BT006240	AT1G24267	AD	DB	pENTR Sfi (SpecR)	
BT006241	AT5G07000	AD	DB	pENTR Sfi (SpecR)	
BT006242	AT1G49570	AD	DB	pENTR Sfi (SpecR)	
BT006243	AT4G11890	AD		pENTR Sfi (SpecR)	
BT006244	AT1G18570	AD	DB	pENTR Sfi (SpecR)	
BT006245	AT1G48470	AD	DB	pENTR Sfi (SpecR)	
BT006246	AT2G38500	AD	DB	pENTR Sfi (SpecR)	
BT006247	AT5G63990	AD	DB	pENTR Sfi (SpecR)	
BT006248	AT1G11440	AD	DB	pENTR Sfi (SpecR)	
BT006249	AT5G57625	AD	DB	pENTR Sfi (SpecR)	
BT006250	AT4G34730	AD	DB	pENTR Sfi (SpecR)	
BT006251	AT4G17170	AD	DB	pENTR Sfi (SpecR)	
BT006252	AT4G30480	AD	DB	pENTR Sfi (SpecR)	
BT006253	AT4G30580	AD	DB	pENTR Sfi (SpecR)	
BT006254	AT5G14000	AD	DB	pENTR Sfi (SpecR)	
BT006255	AT5G55710	AD	DB	pENTR Sfi (SpecR)	
BT006258	AT1G21830	AD	DB	pENTR Sfi (SpecR)	
BT006259	AT1G72360	AD	DB	pENTR Sfi (SpecR)	
BT006260	AT3G16250	AD	DB	pENTR Sfi (SpecR)	
BT006261	AT4G21560	AD	DB	pENTR Sfi (SpecR)	
BT006263	AT3G07430	AD	DB	pENTR Sfi (SpecR)	
BT006265	AT1G07480	AD	DB	pENTR Sfi (SpecR)	
BT006266	AT3G51610	AD	DB	pENTR Sfi (SpecR)	
BT006267	AT3G20600	AD	DB	pENTR Sfi (SpecR)	
BT006270	AT5G15790	AD	DB	pENTR Sfi (SpecR)	
